SKU,Product Name,Variant / Color,Warehouse (EG),On Hand Qty,Allocated Qty,Available Qty,Avg Cost (EGP),Total Cost (EGP),Last Txn Date,Last Source Type,Last Source ID
BEST-M,Best-selling New Products Butterfly ...,"Pink, Size: M",TAN-GH,20,0,20,157.95,3159.00,2025-08-20,SHIP_UAE_EG,"SUEG|272055875001026833|LL-160985c3-5fa8-4efc-8fa2-2b0b73a0bfc1|BEST-M|Pink, Size: M|S0|D15|IN"
HYUNDAI-CO3-BLACK,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,Black,TAN-GH,3,0,3,612.26,1836.78,2025-07-25,SHIP_UAE_EG,SUEG|XAE20250714368000075441|LL-eeaeb8aa-7326-4a91-b16f-a94d600f9621|HYUNDAI-CO3-BLACK|Black|S0|D1|IN
HYUNDAI-CO3-WHITE,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,White,TAN-GH,1,0,1,612.26,612.26,2025-07-25,SHIP_UAE_EG,SUEG|XAE20250714368000075441|LL-b0795e7c-d345-496a-8a93-3fd0a4259e8f|HYUNDAI-CO3-WHITE|White|S0|D1|IN
HYUNDAI-CO3-PURPLE,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,Purple,TAN-GH,1,0,1,612.26,612.26,2025-07-25,SHIP_UAE_EG,SUEG|XAE20250714368000075441|LL-46053922-51f5-47be-b1bf-20747a6e6903|HYUNDAI-CO3-PURPLE|Purple|S0|D1|IN
MONSTER-MQT65-BEIGE,Monster MQT65 OWS Bluetooth 5.4,MQT65 Beige,TAN-GH,8,0,8,407.37,3258.96,2025-07-27,SHIP_UAE_EG,SUEG|3057626187836027|LL-559ba1ab-b9f2-4042-9ceb-93184a33b113|MONSTER-MQT65-BEIGE|MQT65 Beige|S0|D3|IN
MONSTER-MQT65-PURPLE,Monster MQT65 OWS Bluetooth 6.0,MQT65 Purple,TAN-GH,5,0,5,601.12,3005.60,2025-07-27,SHIP_UAE_EG,SUEG|3057626187836027|LL-79f778ed-30a9-4258-8e71-10675a5ff93c|MONSTER-MQT65-PURPLE|MQT65 Purple|S0|D3|IN
MONSTER-MQT65-BLACK,Monster MQT65 OWS Bluetooth 6.0,MQT65 Black,TAN-GH,4,0,4,591.12,2364.48,2025-07-27,SHIP_UAE_EG,SUEG|3057626187836027|LL-541427d3-47c5-4895-b9c5-6188b179c331|MONSTER-MQT65-BLACK|MQT65 Black|S0|D3|IN
HOT-M,Hot Selling Tiktok Earphone Jewelry Bras...,"Pink, Size: M",TAN-GH,20,0,20,162.95,3259.00,2025-08-20,SHIP_UAE_EG,"SUEG|272055875001026833|LL-be4b7e8c-6b4c-483f-b3ca-9e62e33ca270|HOT-M|Pink, Size: M|S0|D20|IN"
FACTORY-MULTI,Factory OEM Butterfly Open Ear Freeclip...,Multi,TAN-GH,20,0,20,162.95,3259.00,2025-08-20,SHIP_UAE_EG,SUEG|272055875001026833|LL-4c07726f-4748-44ff-a2e4-e61190fb6c35|FACTORY-MULTI|Multi|S0|D20|IN
